tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	bpr_cluster	newcluster
163272	1067.0	45.69	63122.0	35.0	2.0	Mate in 2	https://lichess.org/analysis/r1bq1r2/ppp1k2R/2n1p3/3p1pN1/3P2p1/2PBP1P1/P1PK1PP1/R6Q_b_-_-	Mate in 2	14	6	15
43828	434.0	40.0	16048.0	23.0	1.0	Mate in 1	https://lichess.org/analysis/r4rk1/ppb1nppp/3qb3/3p2B1/1P1P4/1BN4P/P4PP1/2RQ1RK1_w_-_-	Mate in 1	9	13	2
128720	400.0	40.0	4230.0	23.0	2.0	Mate in 2	https://lichess.org/analysis/R2r2k1/3P1pp1/2B1p2p/4P3/3p4/1r4P1/6KP/8_b_-_-	Mate in 2	9	5	2
122468	1689.0	45.17	53815.0	47.0	3.0	Mate in 3+,Mating Net,Vulnerable King	https://lichess.org/analysis/r1b1R3/pp1pR1k1/5pp1/2p5/2P5/2BB4/PPK2nqP/8_b_-_-	Vulnerable King	5	9	11
87618	400.0	61.4341	4192.0	16.0	1.0	Mate in 1	https://lichess.org/analysis/r1bq1rk1/2p2ppp/p1p5/4Q3/Nb2P3/1P1P3P/PBP2PP1/R4RK1_b_-_-	Mate in 1	9	5	2
35497	826.0	43.67	49520.0	63.0	2.0	Trapped Piece	https://lichess.org/analysis/6r1/p4p1R/2p1bkp1/4p3/4P2K/1P1P4/P1PN4/8_w_-_-	Trapped Piece	16	17	5
103299	1075.0	48.68	59473.0	44.0	2.0	Defense,Discovered Attack,Hanging Piece	https://lichess.org/analysis/r2r2k1/2pqbpp1/ppn1p2p/3b4/Q2P1B2/5NP1/PP2PPBP/2R2RK1_w_-_-	Defense	14	17	15
56307	820.0	43.06	46561.0	32.0	2.0	Fork / Double Attack	https://lichess.org/analysis/r7/1p1rk3/p2pqp1p/4p1p1/1P6/P4RQ1/5PPP/3R2K1_w_-_-	Fork / Double Attack	14	19	3
52643	400.0	40.16	18457.0	29.0	1.0	Hanging Piece	https://lichess.org/analysis/r4rk1/pbpn1p1q/4p1pp/2pP4/2P3P1/3BPP2/PBQ4P/R3K2R_b_KQ_-	Hanging Piece	8	12	2
43440	2262.0	44.18	17856.0	113.0	8.0	Basic Checkmates,Decoy / Deflection,Defense,Endgame Tactics,Interference,Pawn Promotion,Pin,Skewer	https://lichess.org/analysis/6b1/6p1/p4k2/1P5p/P3B3/1P1K3p/8/8_b_-_-	Interference	4	1	18
