tactics_problem_id	rating	rd	attempt_count	average_seconds	move_count	tags	fen	tag	cluster	full
102673	400	40.0	4034	26	1	Mate in 1	https://lichess.org/analysis/rn1qk1nr/ppp3b1/3p1p1p/7Q/2BPPp2/2N5/PPP3P1/R1B1K2R_b_KQkq_-	Mate in 1	9	11. ... Kf8 12. Qf7#
59391	400	40.18	4175	17	1	Mate in 1	https://lichess.org/analysis/r1b1r1k1/p4pbp/2p1pnp1/q2p4/N1P5/3BPQ2/PP3PPP/R1B1R1K1_w_-_-	Mate in 1	9	13. Bc2 Qxe1#
188390	416	40.0	8407	78	2	Mate in 2	https://lichess.org/analysis/5rk1/2R3Rp/p3p3/8/1p2Nn2/r6P/5PP1/5K2_b_-_-	Mate in 2	8	29. ... Kh8 30. Rxh7+ Kg8 31. Rcg7#
43283	400	40.0	4357	22	1	Mate in 1	https://lichess.org/analysis/r3k1nr/pp1n1ppp/2p5/2b1p3/4P2q/3P1B1P/PPP3P1/RNBQ1K1R_w_kq_-	Mate in 1	9	10. Nd2 Qf2#
29123	1384	45.39	60478	52	2	Fork / Double Attack,Mating Net,Vulnerable King,Zwischenzug	https://lichess.org/analysis/r2q1rk1/pp3ppp/2pP4/2b5/B5n1/2NN1b2/PPPP1P1P/R1B1QRK1_w_-_-	Zwischenzug	5	13. Qe7 Bxd6 14. Re1 Bxe7
171070	2311	44.74	12303	53	2	Basic Checkmates,Mate in 2,Mating Net,Vulnerable King	https://lichess.org/analysis/6k1/8/1p2pp1K/4n1p1/3r4/5PN1/PP3P1P/1R6_w_-_-	Basic Checkmates	4	29. Rg1 Rd7 30. Ne4 Rh7#
170285	423	49.64	16004	19	1	Mate in 1	https://lichess.org/analysis/8/3R3p/6pk/2q4r/5Q2/7P/Pp4P1/7K_b_-_-	Mate in 1	17	41. ... Qg5 42. Qf8#
108996	1039	45.28	59061	67	3	Defense,Fork / Double Attack	https://lichess.org/analysis/rn1qkbnr/ppp1p1pp/5pb1/4N1N1/8/8/PPPP1QPP/R1B1KB1R_w_KQkq_-	Defense	14	9. Ne6 Qd6 10. Nxc7+ Qxc7 11. Nxg6 hxg6
186630	1310	45.39	58647	29	3	Endgame Tactics,Pawn Promotion,X-Ray Attack	https://lichess.org/analysis/8/5p2/3k4/7r/R3p3/1P1p2KP/P4PP1/8_w_-_-	X-Ray Attack	5	38. Rxe4 d2 39. Rd4+ Rd5 40. Rxd2 Rxd2
67413	411	40.15	14586	16	1	Mate in 1	https://lichess.org/analysis/r1bq1rk1/1pp1nppp/pbn1p3/8/1P1PQB2/2PB1NP1/P4P1P/RN3RK1_b_-_-	Mate in 1	8	13. ... e5 14. Qxh7#
127540	597	41.34	29542	39	3	Mate in 3+	https://lichess.org/analysis/r7/3r1pkp/bqn1p1p1/p1p5/4p1N1/2PP3P/P2QBPP1/2R1R1K1_b_-_-	Mate in 3+	17	21. ... exd3 22. Qh6+ Kg8 23. Nf6+ Kh8 24. Qxh7#
115701	1784	45.0	38998	44	3	Endgame Tactics,Pawn Promotion,Trapped Piece,Zwischenzug	https://lichess.org/analysis/3k4/3P4/4Bpp1/4p2p/6P1/5PKb/4P2P/8_b_-_-	Trapped Piece	4	49. ... Bf1 50. gxh5 gxh5 51. Kf2 Bxe2 52. Kxe2
